date,festival,festival_type,is_national_holiday,observed_in
2022-08-09,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-08-15,Independence Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-08-16,Parsi New Year (Shahenshahi),other_holiday,False,"GJ,MH"
2022-08-19,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-08-31,Ganesh Chaturthi,religious_hindu,False,MH
2022-09-08,Onam,religious_hindu,False,KL
2022-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-10-05,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-10-09,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-10-24,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-10-26,Gujarati New Year,other_holiday,False,GJ
2022-10-30,Chhath Puja,religious_hindu,False,UP
2022-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2022-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2022-11-01,Kerala Foundation Day,other_holiday,False,KL
2022-11-08,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2022-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-01-14,Uttarayan,other_holiday,False,GJ
2023-01-15,Pongal,religious_hindu,False,TN
2023-01-16,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2023-01-17,Uzhavar Thirunal,other_holiday,False,TN
2023-01-24,UP Formation Day,other_holiday,False,UP
2023-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2023-03-08,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-03-22,Gudi Padwa,religious_hindu,False,MH
2023-03-22,Ugadi,religious_hindu,False,KA
2023-03-30,Ram Navami,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-04-04,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-04-07,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2023-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2023-04-15,Pohela Boishakh,other_holiday,False,WB
2023-04-22,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-05-01,Gujarat Day,other_holiday,False,GJ
2023-05-01,Maharashtra Day,other_holiday,False,MH
2023-05-05,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-05-09,Rabindra Jayanti,other_holiday,False,WB
2023-06-29,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-07-29,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-08-15,Independence Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-08-16,Parsi New Year (Shahenshahi),other_holiday,False,"GJ,MH"
2023-08-29,Onam,religious_hindu,False,KL
2023-09-07,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-09-19,Ganesh Chaturthi,religious_hindu,False,MH
2023-09-28,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-10-24,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2023-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2023-11-01,Kerala Foundation Day,other_holiday,False,KL
2023-11-12,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-11-14,Gujarati New Year,other_holiday,False,GJ
2023-11-19,Chhath Puja,religious_hindu,False,UP
2023-11-27,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2023-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-01-14,Uttarayan,other_holiday,False,GJ
2024-01-15,Pongal,religious_hindu,False,TN
2024-01-16,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2024-01-17,Uzhavar Thirunal,other_holiday,False,TN
2024-01-24,UP Formation Day,other_holiday,False,UP
2024-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2024-03-25,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-03-29,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-04-09,Gudi Padwa,religious_hindu,False,MH
2024-04-09,Ugadi,religious_hindu,False,KA
2024-04-11,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2024-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2024-04-15,Pohela Boishakh,other_holiday,False,WB
2024-04-17,Ram Navami,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-04-21,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-05-01,Gujarat Day,other_holiday,False,GJ
2024-05-01,Maharashtra Day,other_holiday,False,MH
2024-05-09,Rabindra Jayanti,other_holiday,False,WB
2024-05-23,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-06-17,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-07-17,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-08-15,Independence Day,national_civic,True,"DL,IN,KA,KL,TN,UP,WB"
2024-08-15,Independence Day; Parsi New Year (Shahenshahi),national_civic,True,"GJ,MH"
2024-08-26,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-09-07,Ganesh Chaturthi,religious_hindu,False,MH
